referencia,fabricante_equivalente,codigo_equivalente
ACP-116,BALDWINPA10129WIX24201MANN FILTERCU21003OEM80292-TF0-G01OEM80291TF0U01OEML8B218D483AAMAHLELA462FRAMCV11182PUROLATORTC36080NAPA9101LUBER-FINERCAF1873PHENGSTE3929LIPREMIUM GUARDPA6080,BALDWIN
ACP-116,BALDWIN,PA10129
ACP-116,WIX,24201
ACP-116,MANN FILTER,CU21003
ACP-116,OEM,80292-TF0-G01
ACP-116,OEM,80291TF0U01
ACP-116,OEM,L8B218D483AA
ACP-116,MAHLE,LA462
ACP-116,FRAM,CV11182
ACP-116,PUROLATOR,TC36080
ACP-116,NAPA,9101
ACP-116,LUBER-FINER,CAF1873P
ACP-116,HENGST,E3929LI
ACP-116,PREMIUM GUARD,PA6080
